age,income,expenses,savings,risk_score,assets_value,liabilities
57,33656.69046493534,28414.202374869237,5242.488090066101,1,11156.358097471857,16960.62988814695
30,84220.30459079143,52387.62345968488,31832.681131106554,5,115218.70412488491,64909.50413510427
40,80945.92573883555,51017.81577671999,29928.10996211556,6,137363.87282752237,64209.297535349164
49,31651.946569638454,25786.106380618356,5865.8401890200985,1,7440.626538958977,23528.305616842754
34,170094.623130921,86306.64497479868,83787.97815612234,9,470683.9837302678,46001.315371792814
32,166340.10196961465,86372.4454375361,79967.65653207856,7,605455.9340441761,25263.295606965352
48,84298.29632254565,57719.57552946694,26578.720793078704,6,155163.62662961075,50918.349460412894
25,144609.00474166864,64069.06269267808,80539.94204899056,10,602722.6273625687,18526.21791550231
57,30763.95764269278,23652.826348010956,7111.131294681825,1,5732.813897107796,20200.06342006887
30,77545.31199255491,35182.46559675493,42362.84639579998,6,140400.85373354782,53426.85426973825
34,96433.23228384081,56096.571727240276,40336.66055660054,4,79981.97652821522,39258.45142696365
47,27472.17905071714,24447.568411170425,3024.610639546714,1,7302.114489102538,18320.376504117405
59,23904.21228595313,21456.916579891273,2447.2957060618573,1,13185.949746869934,22780.73523534533
44,22010.488979177946,19575.617746553027,2434.871232624919,1,10470.265880386882,24654.975186098192
54,28851.19279702696,22320.44294561555,6530.749851411412,1,12538.537091141978,21098.71530879537
43,76439.73383347076,54053.87740996348,22385.856423507277,6,120311.93744945052,50819.58140385732
26,158774.2295977412,77418.0226385737,81356.20695916751,8,461930.01118114433,27559.454062321223
55,25748.8571919393,21480.579670096206,4268.277521843094,2,8020.503766220382,14510.385950788543
33,94826.73532695297,60640.072756029724,34186.66257092325,5,124746.88439602529,54339.09457549357
35,74298.38420152047,36010.354824315196,38288.029377205276,6,197150.80632908607,54995.225630113164
29,174870.6952090697,88608.3764766575,86262.3187324122,7,683705.972135491,19515.866073893427
43,55810.15824491068,32017.238651069616,23792.919593841063,4,133874.6780104507,56517.672847483394
48,80926.52252044283,50008.097996683566,30918.424523759262,5,164311.4284230255,40065.81182085691
64,26970.464003281697,21255.8130849629,5714.650918318795,1,9327.365302648597,16403.293475806935
63,33131.62489790734,29142.59934628529,3989.025551622053,2,18370.63885489183,20595.66779430236
24,96387.91327518524,53640.767630789254,42747.14564439599,10,692521.0085376392,31958.841097521115
36,103479.69122647356,65454.38988506989,38025.30134140367,6,145676.62451277874,55163.878906878825
31,142737.6587088031,72685.49005672734,70052.16865207575,9,368797.43417360634,31203.129288383054
61,24753.055268198063,22561.438524631947,2191.6167435661155,3,10408.57565818163,20580.553573644793
56,30499.25241549512,23582.83037413629,6916.42204135883,1,11377.720893868232,19760.491129828566
52,31162.16921194642,24267.36545578602,6894.8037561604,3,11141.855646759006,16931.136025287393
47,31375.299426511054,27587.275377020043,3788.0240494910104,3,4519.81528030107,19997.952753072495
40,77382.44975635376,47409.43391047403,29973.01584587973,6,134383.63385366488,55528.918200821434
53,34361.43427748638,29494.750807487002,4866.6834699993815,2,14499.453793662164,18108.384553884123
28,210429.43212796043,103250.75032559101,107178.68180236942,9,597095.7102297604,26424.684260011418
29,197960.95075503306,96198.09306001267,101762.85769502039,10,385014.94618403405,19850.489877590284
48,27942.390998635827,25297.108013300876,2645.2829853349504,2,11618.493903006129,25065.018701450783
42,70134.4563410742,42947.386807076786,27187.06953399741,5,176616.55405428394,44540.58884891142
35,60281.45492480384,36842.06184543612,23439.39307936772,5,95658.15171328788,62960.86844865587
41,37595.14967554097,31112.6746886458,6482.474986895169,2,13182.532638666831,15741.548153414038
61,30215.373119726362,24206.8622354953,6008.510884231062,3,8278.197654312991,19380.329199443404
28,166225.98050356476,91154.19379304344,75071.78671052132,9,525175.1587888297,25192.343756588856
25,150103.4705177309,81830.61671998668,68272.85379774422,10,484010.3933816947,31934.881945987574
30,145491.79342378333,78104.41120052904,67387.38222325429,9,417958.9328480583,16493.631186976847
25,182667.3229418886,77142.43417056029,105524.8887713283,9,412324.9900067392,27877.919098901802
41,36457.804794498494,28073.4184635367,8384.386330961795,2,9032.69510609602,17053.90452886658
55,36378.2778595893,34107.234736789476,2271.043122799827,1,3107.7340708476586,20018.60491083765
32,152373.82114963728,80792.00733557044,71581.81381406685,10,577719.8642434187,27746.095609627817
48,28956.096306241565,24498.721468738426,4457.374837503139,2,14599.609715571729,12685.887221619218
31,195045.6149673306,94764.31739091888,100281.29757641171,10,437698.11442120536,38959.719992263825
41,81637.1058316579,40431.00052623836,41206.10530541954,5,172893.41371085995,43603.19097675801
42,27700.01106860053,25247.43677284212,2452.574295758408,3,10685.813003139114,30945.203962892083
36,82076.13541865705,47196.7427370459,34879.392681611156,5,154844.30768880632,54009.846450970035
44,31666.00284242284,27118.36271709438,4547.64012532846,3,8415.922300748074,11694.582474618206
40,33388.39758002893,28898.280116181257,4490.117463847677,3,9018.490111452462,16540.99576879654
39,98088.38360247586,58022.1909566651,40066.19264581076,4,185210.61240060395,58715.76774195709
32,170057.52933382345,85988.17139947374,84069.35793434971,10,556679.7348129721,28409.68067946702
57,35834.424991993714,27601.00338726717,8233.421604726544,3,8254.677454996468,18456.509669410825
26,223446.63554295828,105404.49436142403,118042.14118153424,7,535906.7037852444,37194.33355090823
47,24154.02076613336,20385.416516795645,3768.6042493377136,3,12644.411291970195,23916.843699088757
37,68305.11833841869,43556.985481792115,24748.132856626573,5,121050.75560905295,63494.12940926916
62,37973.84877980211,29544.67590989446,8429.172869907648,1,14885.274842893235,16564.536300928943
24,157192.40273835775,85011.97984614072,72180.42289221703,9,517026.63460680743,15672.084325929907
48,97301.21404879993,62178.968091901195,35122.24595689873,4,218470.3770991456,43561.57874104253
63,31684.369872202213,27928.95226514295,3755.417607059262,3,10261.799718095073,13344.502009483134
43,83562.52273996209,49170.76768877873,34391.75505118336,5,151148.73583816664,49776.82198258272
46,26313.828992256895,22272.35967819439,4041.469314062506,2,13470.084663995398,20564.452127358614
45,71196.53434577555,41042.61303374451,30153.921312031045,4,160104.83536337462,49278.98665444322
41,81963.62499464855,49634.15765318625,32329.467341462296,4,76485.60349692198,70726.62006769412
31,142180.67950325418,66251.47337738107,75929.20612587311,10,498088.59888451785,38005.34988080496
61,27842.31479546806,21552.759340269135,6289.555455198926,3,9907.94024295893,14731.665868466356
23,197990.80587271636,106956.87219038786,91033.9336823285,10,617087.0656185276,31991.486869308996
44,99664.3541689274,61793.187670475185,37871.166498452214,6,154389.0210178441,55480.078417733566
33,62063.444487678964,40615.56398152181,21447.880506157155,5,131810.28180374275,36170.04301022222
37,96555.66969571896,62042.41918430412,34513.25051141484,6,168909.8274453716,49496.006476066825
60,31298.810494579266,26179.500434942074,5119.310059637191,3,10814.029381919829,18198.28141542965
45,27376.03593434865,25720.24179262265,1655.7941417259972,3,10285.868000992905,16100.580976806352
42,85847.09021869962,48964.39169305458,36882.69852564504,5,190688.7958439276,49896.64145855651
34,78412.38122948934,39808.84514038928,38603.53608910006,4,137091.6769352009,45466.474120838866
38,85688.57599165397,46886.03089228342,38802.545099370545,6,187550.3112665962,50413.8010946711
30,161538.36242987379,82459.39631249382,79078.96611737997,9,390308.59927052184,43101.1171932187
61,23157.038411468548,21002.67716813552,2154.3612433330272,3,13713.707313592316,13728.325623688712
48,82345.19195880886,46152.57502603488,36192.616932773984,5,117189.15233413283,43920.47792038083
55,29925.512566253154,28342.667569010206,1582.844997242948,1,7543.110349656251,32433.86169631401
33,163878.80373944135,82377.00455359487,81501.79918584648,9,338930.5545035143,25293.972495433278
33,131845.83109425177,57136.05500707267,74709.77608717911,7,615812.4968337764,30285.217879320895
32,66266.28388615737,37840.07781822088,28426.206067936488,4,200770.24118456303,52596.31286288911
46,88348.84422710502,56913.18499286158,31435.659234243438,6,188607.41045036673,61567.45623785618
45,85622.08208610152,51491.84744136311,34130.23464473841,4,102102.21647832054,56412.22639587796
55,37896.929475682016,30921.40149760828,6975.527978073736,2,8419.712217455895,25457.097732367023
32,69946.05623033624,41145.04649424472,28801.009736091517,4,146945.95684267086,43147.02976904749
52,27923.07538679317,24829.31468934315,3093.7606974500195,3,13386.659902577043,18276.213114536284
44,75388.44825175336,45613.88729731101,29774.56095444235,5,190025.22867867284,63117.486351060325
29,126131.07474035017,69842.47497247993,56288.59976787024,9,582993.7127031821,19174.29113151163
30,143489.98911195854,65432.12879230145,78057.86031965708,10,390253.7253541116,26477.09847956355
27,179612.32616833004,101673.57562157146,77938.75054675857,8,416182.41680655966,27242.18641524348
54,27926.113284624582,22569.52630880296,5356.586975821621,1,10656.568359931658,19279.735702584047
51,35221.57692533217,31277.44940266878,3944.1275226633916,3,5302.709260833277,25936.92422085048
44,31682.671726740726,27578.291841558057,4104.379885182669,3,8811.384180597503,17832.895777919402
31,151284.96936591208,79605.05224125637,71679.91712465571,10,508983.02200783906,28265.737452007128
40,28253.652190720866,23532.493748943012,4721.158441777854,2,5474.030669408192,18762.972664549558
51,27673.591617526796,21658.54832167362,6015.043295853175,1,12685.84103835586,17405.73663481995
41,29995.94991738804,26282.068937556498,3713.8809798315415,1,8303.800597515856,14829.19092542226
41,70115.63248556298,42778.7087190829,27336.923766480082,4,155341.58369278428,60739.53055023803
37,76655.84301907227,43868.56888439739,32787.27413467488,6,178798.88313637325,41855.63133743516
23,109232.01345916706,46745.45760034531,62486.555858821754,10,300563.9326163724,23667.864418805708
46,77551.78550737831,45817.58875358488,31734.196753793432,5,136951.42741546748,54565.53178276796
36,89853.59684811992,56875.248588557646,32978.34825956228,5,123317.42444942752,57742.21619869766
23,158249.87907586904,66518.2952054032,91731.58387046584,8,598773.801882746,31937.324924623124
28,142641.86359415404,68577.67711019797,74064.18648395607,10,391517.51506850607,45293.481464490134
39,80359.88008184236,46516.29690855131,33843.58317329105,4,124395.53433253328,49571.066562252214
26,177813.4112384186,98556.71392149644,79256.69731692216,9,603730.1810072411,21605.724877074776
41,27704.16571510647,23344.46533126869,4359.700383837779,3,10276.217870532571,15429.718788301929
34,185304.65210148686,88160.67187579365,97143.98022569322,10,495322.3339509833,21276.876747671915
40,24235.2470265619,21333.974398354323,2901.2726282075782,1,7861.383138084953,12687.718007706
44,81455.32932101071,52424.63832975022,29030.69099126049,4,99859.78231367556,46858.12658692623
27,162725.30466144774,85455.29637232187,77270.00828912586,8,533043.9363355496,30092.599063292488
34,83761.07446444938,44697.06281580813,39064.01164864125,4,118219.72490332651,40603.37884066622
22,149601.471374708,84281.18764193116,65320.283732776836,9,459558.6312573924,16803.70094461596
38,87967.19504781454,49107.32397774993,38859.87107006461,6,132869.35689517803,44230.46723304717
48,80389.00731838419,52666.97482076827,27722.032497615917,5,158589.79607363685,56711.71241884914
26,159926.8927450806,81286.76603305538,78640.12671202523,9,499414.7444305666,36174.6385087922
53,29883.79399720138,26554.682494729146,3329.111502472235,3,12025.825600499229,25854.219777573348
47,72573.46544042106,48857.36613387514,23716.09930654592,4,93303.9719153976,57185.64857070192
55,31580.775095611047,26055.213174716315,5525.561920894732,3,3860.8313625862193,16126.565103435385
52,27224.926912547555,27829.219231097944,0.0,3,13926.167056565544,26712.75440292523
48,26311.743331031,21877.60891266127,4434.134418369729,1,7959.737637009866,24909.62361275165
40,88845.00069950914,58631.099560479306,30213.901139029833,4,94692.06688525571,41260.4601965361
34,73942.28240623667,42619.02120701331,31323.261199223358,4,120573.72674899094,63689.40708657042
52,27622.504627158094,23864.826322038065,3757.678305120029,2,10004.976483949185,19514.54301722782
47,77866.67173318543,51432.97905458413,26433.6926786013,6,109619.02012788205,68973.38733330791
40,95469.32735414093,55382.74995355631,40086.57740058462,5,110864.89845379163,36242.42411510269
35,65407.90980955996,39843.86394012614,25564.045869433823,5,147973.59187565936,63330.097602858106
63,21889.792418697383,18015.20430206146,3874.588116635925,2,13293.92244730885,18104.28175220375
34,72416.57639933121,47457.983989429,24958.592409902216,6,78217.78251557396,57182.54155054739
27,118234.15354910474,60120.03444005944,58114.1191090453,9,443596.0626986211,39359.62300992389
46,96849.33539378186,54005.861867634485,42843.473526147376,4,209012.68348208445,47213.09873688143
40,22758.00781301958,18632.091746477334,4125.916066542246,3,3020.380697509575,21181.724411455172
29,178531.6537496894,81217.01360115137,97314.64014853803,9,356479.2703774599,21937.245603255844
33,131083.6180591669,73570.76522890321,57512.8528302637,8,650380.4222255708,30605.276944409397
41,89427.39630593777,59361.21226555693,30066.18404038084,4,185664.10943751305,62101.45236476231
63,30619.877188598603,25637.411871262364,4982.4653173362385,2,10816.741530028443,10686.549049067104
42,80307.23126438425,43650.449775590554,36656.78148879369,4,181579.91699446575,49402.079939803676
30,168512.02705082297,91907.97645098805,76604.05059983493,10,550727.4007763767,30886.318544404574
31,105598.1527715784,53428.1106335045,52170.042138073906,8,524718.7919789158,46341.09826833309
63,26836.269385258103,21956.222558012938,4880.046827245165,3,5677.985146673871,13851.99509100011
29,134890.06020867967,71209.69386661955,63680.36634206012,9,504811.4865733294,17781.21539424536
36,89540.82792006421,46390.09026654329,43150.737653520926,4,141072.63468450736,52759.20252027846
31,61812.60238734176,35037.921372924015,26774.681014417743,5,81913.33590786988,53183.204303417566
33,90564.23322762932,58027.73223360879,32536.500994020527,4,144685.93038230974,54842.742640521355
30,72267.42789570564,44228.27003777298,28039.15785793266,5,57953.41620015996,51895.08226446296
62,26915.521734078662,22806.91052626471,4108.611207813952,3,10419.5762464303,22028.028037844768
59,29400.709658705517,25356.211163399577,4044.4984953059393,3,15050.47739644692,20338.752643758515
58,28125.44224991708,21673.820681630692,6451.621568286388,3,10902.966804321819,32517.4536568247
33,87943.65801839835,51579.92053402209,36363.73748437626,5,139921.62870757093,46344.63656539679
31,101372.2345544748,64628.49110662401,36743.743447850786,4,166339.34832433896,45580.801509854915
46,77752.48013684723,47267.39318206134,30485.086954785882,6,166595.6696213568,53092.404917362175
30,69289.11831471905,38203.84149487776,31085.27681984129,4,208284.31990295465,55097.850043946135
29,160625.1927877945,71770.66624047805,88854.52654731646,8,602614.562653634,27717.333965473532
35,76808.57907680808,47445.376319993244,29363.202756814833,6,157880.08194081814,50317.731323653046
41,43359.180382384584,36455.96323753611,6903.217144848473,2,3381.44472980308,24445.24500801469
37,65745.90416930523,46104.53652911544,19641.36764018979,6,152068.0648918721,52365.56217040741
22,146365.9321026927,77629.16231331477,68736.76978937793,7,367980.52450643654,39836.99406294807
54,30858.912700645786,29203.137739086815,1655.774961558971,3,11325.266963221231,25799.72775043157
45,26999.50027020374,23747.65599378807,3251.844276415668,3,9126.4869163164,13920.391899109518
41,28972.492979399634,22405.176703981553,6567.316275418081,1,11627.693583714392,20204.168686428646
54,28956.043722833874,23825.234368331694,5130.80935450218,1,5159.17069994981,17525.826898140742
23,160221.36106260915,83459.08291357552,76762.27814903363,9,394412.7754909574,36453.524353271365
31,82500.22186940859,54127.37536061364,28372.84650879495,5,148212.0764888534,44722.34124083233
46,82991.46748966083,55155.38619280168,27836.081296859156,5,160318.17598669566,48697.80564584081
42,40877.759156707776,33100.47107388141,7777.288082826366,1,14659.065751976004,14893.308125248657
24,156208.2334885443,82006.22451944028,74202.00896910402,9,374676.85174372024,36113.555166506754
31,174611.3690173175,76413.65609554842,98197.7129217691,9,538817.8108585038,27780.351639719323
60,28718.670945757036,23496.454885666793,5222.2160600902425,2,10824.15423478914,18159.541737062904
42,37122.18706415581,30634.018407539115,6488.168656616697,2,15810.424449039003,36349.53368693471
23,151648.0787199437,78799.12927259217,72848.94944735154,9,523957.5576768539,48683.006307328134
30,114856.49121489859,53086.978084168346,61769.51313073024,7,488576.56155668676,25553.624899863382
26,105279.98599803734,56271.55200312508,49008.433994912266,9,547741.0305543308,26491.731659048717
42,73497.5005117769,41800.17454582406,31697.32596595284,6,251035.23491645482,47436.33452986129
24,110162.0965364728,48207.89928108865,61954.197255384155,10,246456.4360124295,20162.306556330062
38,77115.67151476874,45550.90878943254,31564.762725336193,5,179697.70644043884,43440.99419660446
40,30406.476101365814,23737.8299063872,6668.6461949786135,1,1873.5065075426946,28045.85456814878
24,173315.0504076587,81451.78953024422,91863.26087741449,9,735659.4801850286,45212.35400953164
22,138328.32787382446,65521.775591053636,72806.55228277082,9,494267.476858959,27078.517069073427
22,187269.95355316607,108089.34664934388,79180.60690382219,7,493586.3717797704,29252.877879992117
25,169609.24873225932,81296.25415917205,88312.99457308727,10,401208.551092317,33125.73740138947
41,83008.76213019647,48868.89964869971,34139.862481496755,5,177222.89694935756,44116.65742115484
47,27858.596940039533,21796.063506133665,6062.533433905868,2,12269.41784495012,24139.801553784673
43,84582.36880753936,51355.506039263346,33226.86276827601,6,79509.73624756683,63473.66322682254
60,30287.04367028528,23573.844752676545,6713.198917608734,2,9767.396004901759,24251.045643058365
32,99357.39228312866,73987.17843035255,25370.213852776113,5,115676.90735608776,41655.97469800883
47,23376.47774734453,18073.807891846605,5302.669855497923,1,7726.188474033874,7666.126195819803
43,80422.10145807505,44590.270255480435,35831.831202594614,5,202349.6271838574,46817.5648873747
52,26432.540527051926,22097.071778382895,4335.468748669031,2,11959.458613727937,22784.498888527374
38,87564.98479058813,48254.029409393275,39310.95538119486,5,143495.22058515347,45352.18378667438
53,24230.949037557482,20709.55857716596,3521.3904603915216,3,3600.387630390527,21638.69785395509
41,34657.897992659295,30630.9907800796,4026.9072125796956,1,10119.809891273682,25982.447454135494
40,21966.92875066491,17921.267225999174,4045.6615246657348,1,10651.845913417565,27288.982759870265
48,31203.33502891562,26074.531405281425,5128.803623634194,1,6405.94203438222,25622.594625835216
38,90912.2992316839,59775.65297311015,31136.646258573746,4,113656.39500446686,44117.36474075118
47,77319.14236049363,51241.353055327905,26077.789305165723,6,139252.69335192157,56237.420786454946
38,67806.73489648588,39902.347076159764,27904.38782032612,5,161745.47270538888,66297.3167651789
42,62310.17974366952,36305.27991070385,26004.899832965668,4,105647.00430632089,48421.644764059994
48,69531.6621661032,39137.78243493498,30393.879731168214,6,173958.5336182726,55235.67023322473
61,22150.208537096365,18697.730140711745,3452.4783963846203,2,9022.93432153164,22502.651576127093
48,80393.53940692313,42812.80255940739,37580.736847515735,5,156393.79544852168,66485.94161283581
48,32034.668466841427,28101.883429538877,3932.7850373025503,3,10857.060770702665,25105.237315127655
27,190616.34385670844,109390.6175412161,81225.72631549234,10,683026.3595377862,28700.087377275795
41,28728.723829354778,22013.238410904643,6715.485418450135,3,12602.397668110236,16124.566849649804
24,126865.85471369373,67074.96447424953,59790.8902394442,8,653415.9866466103,30549.065082047327
35,84425.403698801,53773.177770743176,30652.22592805783,5,127200.12315905353,52856.432852014856
30,183122.37805393175,109470.47152886195,73651.9065250698,9,613364.6718269379,42813.56501582917
58,30603.49241067755,25583.49057884827,5020.001831829282,2,9026.277935308006,13454.626376712871
43,63435.08454729228,39368.90533051953,24066.179216772754,6,118614.4959107374,59128.661375425116
32,80235.82657653406,50644.21511485863,29591.611461675435,5,156465.83088450975,42275.86752656047
27,121280.50267005614,50791.178720191834,70489.32394986431,7,431667.1935147977,35278.574835162384
59,32692.00893530454,28104.911656411557,4587.097278892983,1,8486.214530043178,21609.279510700664
49,97316.89323738351,67376.07436132802,29940.81887605549,4,157259.62792815198,35030.884797018036
40,94184.91106452694,66458.45031749831,27726.46074702863,4,174263.39341438477,61460.16920829632
44,75532.52721989829,46683.75589279129,28848.771327106995,6,169767.73114747388,37688.913643794396
34,132056.33449426212,76432.20765724647,55624.12683701565,7,552994.7820850685,18078.1045576823
31,132366.04037462626,64565.72922693867,67800.3111476876,7,556764.1336458107,38641.48994593105
32,114118.82880897517,61542.07264860086,52576.756160374316,7,474326.58944929263,28545.113557122837
48,81521.35392091339,47066.224132862066,34455.12978805132,4,161456.41363833498,71755.45653943268
43,83510.02752493738,53075.92838329083,30434.099141646548,6,208686.040403213,71094.8854410048
33,75861.21878915592,43068.46800167404,32792.75078748188,5,172857.35678259956,45954.911229395315
49,31394.540993955314,25327.9699995245,6066.570994430815,3,4360.827223624837,17386.30458876353
53,40529.20695746333,30907.96072633506,9621.246231128269,2,6500.337615769619,17949.64278174758
61,35383.05172502027,27115.170295333493,8267.881429686775,3,5140.166161546573,12703.155413072727
44,67798.70610299885,36006.18302270198,31792.523080296873,6,221344.7961922352,56815.16801567683
25,173068.92513410235,81151.72504155365,91917.2000925487,8,542418.8155097249,13608.362556384654
29,118394.23766579687,65989.00062129393,52405.23704450294,10,452437.19374209776,29323.932676523273
42,81825.16343375988,55249.183083964344,26575.980349795536,5,134446.37886667153,48279.605727585185
45,21847.464612770447,18554.091930271705,3293.3726824987425,2,8005.350015635654,20645.228265461796
34,174249.87109185074,74048.33751317284,100201.5335786779,8,516093.63681129477,36497.09521843367
22,140298.88601159918,75267.84142978964,65031.04458180955,8,562411.2077378754,26126.240555715827
40,78086.48811570003,51519.99352488077,26566.494590819268,4,161265.20766252215,65116.13458899307
29,146511.14460202097,63473.0038253368,83038.14077668417,7,492068.2740239186,27506.08978205973
44,32856.284349932874,28566.321062785184,4289.96328714769,1,7212.986569001453,27101.9981244164
38,104575.4031138621,54476.406776114774,50098.99633774733,6,153268.23705218363,48531.7868409766
31,187860.2691975994,107065.75844686673,80794.51075073268,7,531710.804907009,41169.52327429808
28,148675.29790769238,78432.00261988229,70243.29528781009,10,299467.96354130236,33434.08319898706
32,104157.85219924175,53157.381815934925,51000.47038330683,10,522368.0621636628,34503.55175208446
30,78976.50823804321,53773.091387791996,25203.41685025122,4,135501.670178356,47402.97088036832
55,27572.552687964144,21211.586335693068,6360.966352271076,3,15052.838186907979,19246.765446170095
42,35340.68269023305,29167.931209751496,6172.751480481555,3,10481.197767157271,32138.321121005793
35,89603.02838736662,51744.915532396764,37858.112854969855,6,160844.19610235383,51615.13497782421
48,91875.73862876059,55342.04919316437,36533.68943559622,4,103891.45102145811,53400.24578174397
39,71404.94385923696,43890.68629337632,27514.257565860637,4,135640.43554277704,46939.193121187505
26,159576.47376648695,62596.947169049396,96979.52659743755,8,539480.6441248346,19024.473037551248
33,75863.66021450715,42194.26093705548,33669.399277451674,4,165861.56315455597,49749.296855442655
39,79494.94131525165,47093.253256518,32401.68805873365,6,178315.19885763436,67666.17389534225
53,30859.947849216976,27590.46480834341,3269.483040873565,3,7076.001665761331,19456.87606491625
54,36502.51923251213,28747.40388818714,7755.115344324993,3,9105.353033929005,16669.935277720946
32,91108.17780789422,58475.276692032465,32632.90111586175,5,125260.00260629327,62045.538447778745
42,26701.847622824513,23059.166852117094,3642.6807707074186,2,13389.300061368034,22082.53062206199
40,87872.90197140255,56249.00083314787,31623.90113825468,4,131053.02381891267,65721.74442334371
23,126224.31910881396,57945.470433524446,68278.84867528951,10,604821.1713984972,36539.72599192668
63,31609.382634728725,28280.832961298096,3328.549673430629,3,13476.04577644278,21908.81838537119
53,30345.4345983225,25908.117355233466,4437.317243089034,2,8859.929816898986,19685.158628249286
27,157457.21775962735,81939.63692615078,75517.58083347658,8,440378.22902266646,26557.928538847533
39,104744.20571270317,65533.02945746641,39211.176255236765,5,173948.24579750185,59852.35037334175
43,27787.350695097368,25041.15404552502,2746.1966495723464,2,8769.405623478153,13824.689870705093
46,82893.93779438183,50693.58181086839,32200.355983513437,4,203684.89477762987,45140.364850307735
28,134198.90269990588,70056.6458199961,64142.25687990978,7,493816.661146489,18231.261496315867
55,27967.107601615764,23974.03778226174,3993.069819354023,1,11646.537541377507,20432.330294563068
31,115731.14113822526,54729.81854948479,61001.32258874046,7,510007.2816413861,41919.88442048825
22,156731.04293092462,82468.31653052814,74262.72640039648,8,434578.18811332673,35783.616342714085
34,149449.22462871563,77748.02468837693,71701.1999403387,8,553475.8128364738,26677.069274695146
57,25801.34609215713,24103.20875487886,1698.1373372782728,1,12844.782759394157,26956.53040613604
33,156178.37610965554,77514.01801219143,78664.35809746411,9,538300.0059668074,26856.433833610427
27,125539.28068278353,50459.44853271392,75079.83215006962,10,673904.1943286464,25562.660134119214
33,130141.87109299618,62336.942302182775,67804.9287908134,10,597466.0130645658,40154.814526099326
34,97651.10632397614,50855.030102805526,46796.07622117062,8,599124.3621414305,28023.11152988975
