age,retirement_age,income,expenses,savings,investment,inflation,return_rate,readiness_score
50,66,5579152.51,594213.52,25657264.43,4914326.64,3.383614134264426,11.891210904957582,78.17992627464355
49,60,1288739.61,1915339.92,7502463.33,34607331.75,3.8302626074076818,13.63641052417156,39.82502991292052
53,65,332394.83,1178567.81,4407382.45,11908452.43,3.305523338098161,14.968091806811088,34.117623974816304
39,55,4600619.49,3129373.07,8037533.08,8733182.22,5.496514730071626,9.268583287950896,33.735199460889184
25,57,1334098.71,1511872.37,7397184.15,34870659.32,3.531686486741136,6.111508797833118,42.51024679348408
49,59,980893.65,1617145.8,18274362.44,39438869.72,3.5706998465481607,5.30415880807968,41.60117835492747
31,58,2890762.13,1557605.25,17863490.81,12422767.17,7.705241300191886,12.268769061397716,45.1653471246892
33,57,1992518.84,4034369.12,11750283.25,44013451.9,7.363275360880277,13.740136713087155,27.807144842846327
48,64,4816035.59,778487.98,19035375.64,46045307.58,5.260432984056831,7.207125859444186,75.8083476432596
25,67,5324526.62,2464295.94,20229207.85,16227245.12,7.929026604251029,6.58448037189906,58.16921016275806
32,59,4816257.47,4395888.09,24900111.84,17528588.94,3.0009326408533155,5.62205091525691,44.69725372857349
48,65,1779131.38,2541091.34,11432993.94,7491661.06,6.069897281366969,13.227029217172063,27.80819892363147
35,62,2633410.26,1584005.96,12993381.59,33730174.47,6.08214088685935,8.113819398925843,48.66188965161811
41,65,5304493.81,3014275.82,20730661.87,53450466.53,5.287215279349441,9.016968927597766,67.41329476611176
32,58,5305159.46,571098.89,9371825.68,21653758.9,4.9847398646714645,10.027501916096124,64.48765556557063
59,55,2790122.62,1692462.59,9333092.16,29950050.25,5.2769156774030375,13.394532342095507,40.0512744731183
59,65,1074718.2,1683819.97,16298478.87,47126450.83,5.074802180398402,11.50833221561485,43.737865413032395
57,61,5501271.79,1259243.82,10446402.94,49558263.94,6.6524623874114965,11.150646298578112,67.98925588070101
29,62,2327085.78,4085335.13,21584380.48,2438036.41,3.676777174866421,6.756720999559107,27.48076508534814
52,57,2171007.37,3294402.65,14850762.99,10812813.21,3.9881961029556505,10.131898917098296,22.473773267036755
31,60,3057934.66,2335704.73,18759601.46,36739474.25,3.9025911419621178,12.153810171786551,60.206586185098324
33,56,1541114.97,1924016.17,186747.48,35480644.91,4.312352925606323,14.732608830304915,35.52795452021283
32,61,2072935.35,1625862.63,23666111.85,14422522.37,5.626292093907916,7.014063092133522,44.9947602194915
36,69,4377817.88,1078221.86,24316699.33,42415963.48,3.5560437366910937,5.095433530672267,82.4439869067844
58,62,4732037.26,4075879.65,14514177.99,46798534.57,7.340846476632521,5.753014335984697,38.904637600385605
57,60,1465167.8,2540063.55,17546410.31,46117259.68,4.486807656542362,8.758524651819792,39.78636466293219
47,60,3792904.21,2907049.39,19319980.35,6883735.6,3.812689937343539,13.205446477459873,47.02156873578892
48,59,1733487.0,2811033.49,22512130.89,3748583.78,6.378106547991217,5.0714208176824505,18.468502367310627
59,62,5643149.73,2631428.57,12889042.25,49031759.4,3.1904315029965966,9.567305928858405,64.8081810503145
46,55,5935749.2,1163533.14,3936216.16,29877670.8,6.099842824370821,8.292306153413946,54.48108063780561
51,64,1766262.2,1084948.22,25238589.78,6283258.43,6.490992153382499,5.524817100997276,41.30924705494108
59,58,4640304.74,554470.98,23804115.8,24588616.91,4.074582656933596,9.502362866726171,72.5415341627711
25,69,521755.6,405340.16,6468512.61,17218011.53,3.2098203672181715,7.547487073367188,48.115132946883776
59,58,2124538.86,3861791.42,27182375.18,15648422.23,4.818226794597248,8.518848343470065,23.82401699828707
38,57,3266630.89,3167954.5,22178811.79,12364387.61,3.4929711512096824,12.05615304784293,43.453473183059295
27,57,5602830.53,824030.06,27650842.94,46867012.33,3.582389248366685,10.215509839109671,91.08540303449597
25,58,5801700.54,634604.05,23083864.48,6374012.17,4.271306157224323,6.246474289928133,72.33372569664988
29,65,4876609.48,2158358.86,28779106.1,45613410.16,4.477339623133797,14.61414540423639,86.24075719436595
50,55,5432678.44,1553583.36,10706119.8,38374284.86,5.649851705107103,11.359107657097384,59.77172500083341
38,68,4162148.2,1471329.75,17333095.13,16421314.46,6.391959427515065,12.658684256625316,61.5943517154653
51,65,3933736.13,357819.31,22319129.24,21023263.59,5.963854704350924,5.792131500083708,63.96538162826212
33,67,3724025.58,4293799.14,28741155.32,40985548.75,3.741801686447584,5.470583794600189,56.38059512607604
39,65,684617.27,2052325.2,1828890.07,16141417.36,3.860430162263132,5.194480503680811,23.884253833129343
39,56,5875365.49,1166783.67,2000521.67,53758479.42,7.393846248964572,6.887940277734445,60.72008704234737
50,63,5831622.97,4357211.05,26248294.7,53453737.91,5.791761575320568,9.144083977184952,62.20981963232278
37,64,5184201.86,1504981.45,12177874.43,39443527.83,7.349689164488445,14.358261334028228,69.95411215618356
56,56,3032640.07,3480757.44,12232403.83,15289335.81,4.857732556599371,9.570596592657765,21.710285273092733
56,59,3909043.79,2781869.17,828630.71,15949128.52,6.072000037156619,7.902551053725294,18.914852963686013
28,63,5848834.7,3626312.87,3868522.48,13056278.34,5.618317080273053,10.619352535196631,40.681173574453524
54,63,5993818.99,1578190.83,19815769.29,55181776.45,4.595617449102313,6.119345781347892,80.79647817227547
47,62,5392232.45,3133653.93,668429.73,24147542.2,5.349576860167977,11.095058910049833,40.46898620460036
39,55,2595943.83,2351484.14,18026428.23,4083365.71,5.51245438413466,10.684319543305032,29.872129827285455
53,55,2312504.94,426029.95,1783188.3,52358140.67,4.003854873783393,12.919930334057096,54.71497988332295
37,63,410909.5,1622079.74,15216645.34,13379261.11,4.575051861883658,14.86687611617024,37.96294949639736
56,67,889192.83,2434074.42,1408231.0,40438363.56,6.957048752534877,7.508734717161105,21.917289931477814
31,65,1828230.78,3954142.71,1903881.16,28852636.08,7.578941197270636,10.096564508037606,13.073711585957923
46,62,4653902.96,2857585.59,14743293.23,36465003.34,4.798970467726497,14.088654063190036,60.09249633707272
52,64,4090385.1,1880608.23,22046512.65,42284690.74,4.534861411045091,12.851898844228414,68.50366641118195
26,63,5229846.24,1579405.65,6801899.03,9934394.83,3.9759858228594127,9.874063031008076,55.75124669776333
30,61,4095329.9,2007016.41,23151754.11,30880774.09,6.392455843252906,14.45371649614778,66.91504310491828
52,57,3717495.9,800110.88,12522375.83,24411791.7,4.615498508331687,5.572366935168094,49.017435725383805
52,57,680179.62,2243456.61,1718802.83,15814149.7,7.938747695495943,14.30998619712584,9.584927865498637
44,56,3468068.4,399297.68,6947427.33,385725.95,4.628424010319766,5.505073923828066,39.87174281486269
54,59,2171229.25,3472694.59,14468921.04,9889211.82,4.970680233913141,10.473047441146845,20.552636539205878
35,66,5136782.43,805455.53,22314481.17,15198300.79,6.016670981060174,13.904409480010855,76.58959202093985
52,66,2546590.85,1156401.95,7929957.08,36678925.9,7.008421465956525,7.627209435613028,43.10163768376353
49,57,1647555.12,3852936.0,23779104.1,5720645.38,5.347593326728168,9.722484989451583,19.446418781795746
57,68,4883139.16,2232914.64,354738.59,54460199.14,5.113280168944792,8.243288791369666,57.120240952758486
25,60,3090931.74,4185886.68,8417250.08,18289812.43,7.978189167974041,14.521439170763514,26.411579685140183
51,56,5199987.21,2393992.09,25096832.53,7086303.47,3.0524682056997223,13.236455947530908,59.35996274074359
37,66,5529609.34,437494.42,5851577.52,55275365.6,7.475326444256229,12.090015113263796,79.52712740103351
27,57,4748805.23,4159121.06,26726234.52,10028358.75,3.7457041296986873,10.876269866151087,49.0308590451065
30,59,1480065.62,1125137.71,22822424.08,16181240.89,6.929626381044567,13.20591789324148,50.57396852171218
32,66,2892030.03,1294772.82,7627906.89,31618315.85,6.08965779923149,8.922670415235471,50.095780587622
51,65,4351065.2,3664082.77,26031696.83,5070425.0,4.709236427490461,9.47551855106062,43.45005946782337
33,65,2708945.36,1671633.38,6679208.46,35679345.75,7.369374777605092,12.300017210808615,49.17446676614267
57,55,2684696.79,2213549.22,793661.31,24527396.39,3.06453613990496,8.577547632937144,25.141540642278695
48,67,1290419.57,804714.09,11116597.73,6238153.48,4.133453260374618,5.639009420483738,35.15395088697411
39,55,4083031.28,2342292.48,4922566.41,56875753.83,5.83446398124768,5.743346088860715,50.45669448211099
56,64,4347103.02,947056.47,13530848.47,11837132.64,4.75771130024849,6.153628013057038,51.33675918414459
56,63,1375463.92,2328400.71,13086057.56,28041748.11,6.051887476591638,13.696813233436629,32.00416652489075
48,61,3802128.18,2714670.8,15103099.35,54626419.83,3.120550967043334,9.722264257562044,61.53489885385978
36,55,3626841.1,1819957.56,20717732.95,8121148.62,3.582294652408563,12.128823693447366,53.13509685784481
26,69,5605144.45,2123267.2,314447.4,41562742.53,3.635481201092196,8.929093356048933,68.0056609266594
27,66,4678817.18,538229.94,18889831.39,3473637.3,3.946418229580047,7.587109474156345,70.341526562057
41,68,5461206.17,1622495.93,5149170.51,6813927.8,5.296657204002714,8.47192167562212,53.31931963779541
26,62,1437495.9,2264426.05,19895881.03,23631790.28,6.760643497717856,12.941823453171835,44.43286011218682
26,57,3113627.14,4127671.35,18656949.86,15837590.79,7.527694189644506,11.252161250314382,25.721898670758687
52,62,2377009.31,2534226.34,26746840.88,51482152.78,7.176862651421231,14.37639779957902,57.69983218912517
47,69,2880682.33,3511578.73,15435421.46,3510444.28,3.9844393588784177,11.79704778576834,29.136454651798697
56,59,4338291.12,3911888.69,5295734.05,5600710.43,5.205752761153162,10.70181631754694,16.454254417887007
57,55,1124293.06,1857470.48,16422984.26,4943650.07,3.997057988792675,11.101960089858345,27.568851531847972
25,61,854008.62,3286683.93,22529620.16,21329133.62,4.322359083335954,14.423714394684149,37.090632693783085
43,59,834387.88,1745037.01,10748193.57,42599272.49,5.517734907559431,12.88200929866706,39.76162023103488
26,60,2847748.64,945463.2,7227409.98,53178077.27,3.3405451236176127,5.240412373664379,60.97931632106403
50,60,1851560.13,1291756.85,1873557.85,7710859.45,4.090871647966366,10.341396961356972,28.98208666501439
56,62,5769020.44,411480.53,11207934.33,41922093.39,7.676890806535586,11.883384115465647,71.12996396374203
30,63,2743115.25,987291.28,16914913.46,7855701.36,5.330581463292445,12.48698478439155,52.67430812906357
56,56,2462814.4,1241103.76,26566842.73,21277314.34,5.226932629889361,7.131421193139367,45.7129896217959
28,63,802690.39,460275.43,22179543.15,29855205.96,3.0728357737563945,13.671773544513522,66.21590319593882
35,66,3229576.53,3133789.11,8853006.6,40133092.51,4.236998735291729,14.558431471751636,51.82732669164434
41,69,5519688.03,2655842.36,10637017.33,7357642.87,7.331462179910907,7.3671530584486975,46.36931309503446
48,65,1575348.26,2924580.95,17777070.73,15971328.77,3.823142141293344,13.826154575172458,33.918469170618934
29,64,1046665.93,639694.36,2513688.75,15714595.41,5.0756246976736055,5.969787625160954,36.467167243638976
58,63,3200414.85,2045080.51,14641973.88,49715434.22,3.071654529335006,5.557068361152452,55.239370940983555
30,67,2133319.06,2227193.52,14337272.81,3681427.12,5.391677408352779,6.292238001027494,30.905202257232204
46,64,5312323.09,2864068.74,14554010.24,17939284.67,3.105105533631086,5.57741079467036,54.05856853146271
35,69,530313.92,2415315.81,16155824.61,10458890.47,7.098047765329,13.45012237155776,33.17183318594269
40,64,856988.18,1922572.93,780164.32,14744730.76,7.124268837435518,5.59050144458272,13.774406463903562
57,61,3858454.61,2336728.46,22872979.99,14889191.76,6.938710941511849,7.716641913636555,42.466691843338666
33,55,433224.52,1545881.27,17231106.15,13939023.07,4.416820344455591,6.037563435358564,29.595441653382284
30,61,2358846.66,2056521.38,10455859.14,26432147.84,7.18618609110909,7.954220363137649,35.461845026937326
40,64,3275220.91,3327788.52,26234916.47,7954341.83,5.714990663026347,5.905594676009205,36.373151595153736
53,59,4240060.61,3405444.61,23219730.38,35515633.19,4.869040544335013,11.68003250743014,48.32668178902646
27,60,5467767.55,2091069.11,14888443.1,40134659.67,6.126649798521165,6.333268163425752,64.18463095136248
44,64,1306553.59,1813922.26,8464785.96,30668344.14,3.06170523030187,13.518459258388878,43.59446277579733
43,61,4317117.2,3230960.51,20814995.5,34391395.64,3.7148043880037607,13.17191050726641,57.69178963256881
50,68,2062348.39,4004773.82,2787930.01,40327739.94,6.711467690851314,5.136616854706094,17.9579331875622
27,69,3776960.38,953642.72,9204593.84,48109784.37,4.220808043580766,13.957263555151146,76.78532716264044
43,59,5380726.26,3115395.87,28916748.08,29630687.38,5.990045586643748,5.289443167433671,57.10880149485115
44,61,1514393.99,318124.53,8083554.21,29426933.67,4.925513014115149,7.396457849575566,48.66747982030873
56,63,5008407.62,2301889.64,15816428.76,705999.12,7.274028893996308,5.323891377759951,38.29159106940686
31,57,1369409.7,2158917.23,16061501.58,7082546.43,7.762076529983218,8.358434870393161,21.95420398848246
57,62,2714524.12,3635352.79,16463239.79,25082654.88,7.417823641850952,10.138665257132716,25.138768539262177
42,56,1277930.77,1517848.13,9760623.08,24388667.41,4.353099973467984,12.96644869015138,38.16505163117225
25,65,5702804.39,1447871.56,21055353.17,44977756.51,3.970814345230411,8.37981550469836,90.29739227403077
35,61,2014770.47,473784.32,21700575.49,3098361.15,5.372174468103675,12.054900246731169,54.1402306144061
52,67,685694.98,2336131.81,435605.01,13314103.58,3.0366707541809013,6.875044571189804,16.021299180595705
49,56,3824126.23,597371.41,25527523.96,24382426.21,3.1290469643159087,12.505984567441264,73.2628827702863
47,69,3856489.36,3824292.71,16480259.58,17484474.77,5.766453198115,7.359966059092375,32.9761952954636
55,68,3811732.52,2110245.03,16838703.33,46638677.02,5.60224702082643,6.435447559437679,57.360912002413315
54,58,4900160.71,1364575.07,3129151.16,48534336.44,7.9729099451762995,6.854088503740544,50.26188844548462
59,61,816700.68,2319697.87,13653996.09,24294851.46,4.009209176818791,6.820631288818554,21.818405602902395
31,57,1289341.86,2764252.36,19170849.54,43612571.38,4.290519645802342,10.128628793769913,42.923302377449
40,56,2026530.24,2417014.24,7489341.43,40281307.64,3.5677032116314336,13.44797581188146,43.352074322705604
50,65,4770074.24,1472591.51,6994025.39,14144283.16,7.5877150482687235,5.796050769925056,44.289934742610306
26,64,2450769.36,1790904.0,13624844.07,44787303.22,6.889056222292254,12.069563184934228,54.10271169591116
25,61,4286624.22,2310957.11,20280991.32,39274226.98,7.1116955572842375,11.543464596528576,65.12127474309742
36,55,3952818.02,2694058.82,11789817.28,19247635.63,7.513818939822544,13.725199518293625,34.731558592550876
29,68,3987590.16,743049.91,6971008.28,8986013.33,5.624499933629192,7.441475605069073,54.05404851982934
56,69,2584913.11,2403571.25,20076597.53,39676118.29,5.255965957253618,9.501098586850295,53.61473229247601
33,62,2333710.55,2122302.37,25586645.83,24966398.9,4.651957368328082,14.258273744435174,55.23012868235927
59,57,636025.02,1934689.85,6433063.49,12221106.28,5.946073071739278,11.599934501353172,14.071570425529824
43,66,1448177.95,3554532.2,18753619.34,10181016.19,5.271391983949113,8.88768412861597,21.973198250393374
40,66,4584612.26,3295890.14,4376584.38,5386706.16,5.257827933027876,6.314123828552685,33.14137373754968
27,67,4908845.82,2336561.51,5984868.53,58651005.88,7.6846393186556945,7.624850079005911,61.17152997586509
44,56,4279555.68,2987197.6,20364391.25,46012940.98,7.92015757139565,10.812154774893834,49.66729361238671
48,57,2087547.89,853901.42,11154141.81,47424935.36,6.982421946647904,12.181679475605137,52.34525410309318
57,59,5543397.75,3822382.97,21849425.82,49626904.28,6.783790451234641,6.244218868518935,48.827830635780614
48,65,2634171.0,1414876.23,11995849.71,22021365.12,6.4027908088955074,10.99597260044054,48.849519782231695
35,62,1725055.47,723186.45,1999260.68,52697897.3,3.830374261667568,10.50351278838751,56.451436451490395
32,64,2642887.81,337451.5,2767377.66,24295075.38,3.2955291043782724,10.13955446690708,54.21389916014517
44,61,4616119.56,3845777.05,6283103.3,24874648.04,6.453631575566316,11.90123117682008,32.49574421249111
59,61,5058362.85,1604613.83,16827620.38,37581663.72,6.64393111128288,13.374495950834618,64.18328397632276
49,66,4274420.69,3064175.27,2631684.64,55447672.02,3.234864955490699,8.229896831768684,50.06427639736067
59,61,602108.72,428368.12,18478871.88,18719504.43,7.64025875114424,13.890121901109596,39.88001092328849
49,69,1986559.71,4057414.78,20967014.94,12450069.71,3.455703197223388,6.606336126185507,31.825940174228563
53,62,3386954.54,946617.24,9763539.1,4363942.37,4.429502668856012,6.730238697511643,42.07622291064523
42,55,4470691.51,2629355.77,25131253.94,17321414.08,6.361949063993523,7.667720636239239,48.18608277466793
42,58,5871149.73,4255463.51,3748257.78,35871356.81,3.849362972022382,6.195308695470779,39.47674819084599
26,67,3327680.24,2922109.06,1832291.11,8800704.92,3.277079442211222,7.303192246828775,28.784179159415025
59,60,1652626.72,2762970.5,17364022.8,24496558.55,4.655732445820749,6.064117629028446,30.444504154970858
40,63,1835711.39,421279.23,19322117.29,43847450.46,6.829857874275895,13.217524169853904,65.42962706988041
57,67,628734.6,3051214.47,16626514.4,2994141.04,5.068393394926302,6.389689918866246,13.370159342072787
28,56,2479360.49,1460092.63,25868059.51,24167169.69,6.264864609539696,12.472975575598568,58.60614863143528
57,55,1106288.89,2638719.33,4029951.87,21417216.21,5.898095486140683,5.479138679133337,5.590935651069747
38,67,1213743.36,3243768.9,2892199.13,48204904.68,3.111092410127902,14.48520327513915,35.73499177191467
45,64,301648.27,262686.43,5345326.16,6842610.42,7.942699935228533,12.11160087527766,25.235264142534273
44,66,3107699.71,1631776.0,15133076.82,24496332.27,3.2071404440969387,5.067965485861118,53.78397077688203
32,68,4256701.79,3659750.03,7414509.69,14733833.59,7.839013688242425,12.63856500200214,35.10467260437876
31,56,2470136.52,3650223.97,1154332.18,25811127.41,5.749320891821991,10.140819207661853,18.94877143349757
27,61,5379363.27,3745217.67,4439704.2,7567100.22,7.815795135325333,12.793651703351198,32.815140587225144
41,57,1768354.23,3810238.25,15118751.72,42661017.2,3.573767997069177,10.224968088905886,31.724327508735144
57,64,5086953.98,535991.25,25452749.22,12993954.18,5.452042595927566,11.410248576353546,72.16075286285307
36,56,5714183.79,1250122.64,19522296.78,15400674.32,3.847520459330293,12.863316553950405,68.79390947794835
46,68,4790614.21,4364027.93,17176773.21,43579532.96,3.254874385112212,9.051080545878566,55.306771375695384
46,65,2876434.87,816677.58,19636842.39,24767676.03,6.087645575311558,5.027081498204521,57.800827334499594
54,61,3418556.93,1020087.7,16421704.68,42357345.01,4.038917104808457,13.499464959451885,65.47093031009311
32,67,2608432.64,2006244.96,14805861.14,23191435.43,5.93848509143773,8.808903626246625,52.35623703308975
51,67,3551908.24,883672.71,1199952.19,15304541.14,3.561822409744928,9.96042726016583,49.236128986499
51,56,1823888.22,1975907.87,25480117.59,34359941.33,4.659932357163514,5.077666421539687,43.99784222236318
58,57,1223854.86,2014602.97,16657369.39,10605269.21,6.908162790266236,9.92092010350098,25.48682127292709
45,65,5759574.59,2080565.68,5507332.19,28185378.35,5.185257609210938,14.864874015717294,61.06115468376684
54,61,889478.1,2769496.76,9830601.43,24363372.66,6.138727074486682,7.782676608187696,17.30716955884463
57,68,3415767.55,1087605.86,26871875.51,3537372.01,6.23728970372773,8.95418270242378,53.63015071537532
52,58,4874327.26,4276872.68,27280370.89,23778745.84,7.218775219936468,11.871899964686763,43.9944086250668
57,67,4137994.72,361891.79,14661217.32,8512279.69,4.624613972033206,13.147936675236586,63.094062422010275
29,68,2078799.39,3897534.22,6573484.56,47776300.68,6.436477812912588,9.173916240061004,33.610097847946
43,55,3207388.29,2478373.86,1349030.76,29550097.98,7.808079035230828,8.096688704012927,22.367978564072814
28,67,450246.07,335600.17,1027834.29,4994394.57,6.65121667178934,14.378257999850671,35.849891600172775
59,68,4097770.61,2835017.4,24903248.81,20486306.0,5.449352383588723,11.771449666716691,51.14824564011634
41,59,3962485.75,4279893.41,22745661.02,54194774.52,6.153587222459646,6.190213044931411,49.08603845065047
52,66,2721814.54,1694048.31,25746444.83,12776480.86,6.698414488815541,5.689278781346486,49.03945820121604
54,63,634218.27,2523919.72,8914217.79,10317538.56,6.061378828469362,9.83549850790369,13.033186347157466
53,62,603027.94,2761163.79,12935319.76,40225363.05,3.083379067449196,7.200900660472724,31.140216867458903
30,66,902695.95,3239002.79,6494760.15,22058308.67,3.973867488436129,7.539847533762535,26.53642010525845
59,69,4048481.02,302437.59,8604905.1,41428567.6,7.05234108607733,13.776921788278482,68.24473978033973
48,63,4962065.9,2738712.63,29634958.31,19464674.1,4.363253236562423,5.895660243163107,60.610537102604695
53,64,4075455.58,296680.9,23920446.17,48162067.41,6.657810597805669,12.153641152288897,78.9443789581125
55,68,478361.74,2624106.0,10635987.93,16766577.15,4.860601076208494,7.71142253380588,21.906497214943734
59,63,4240821.35,3804590.38,13810898.79,21569599.17,5.609421640789716,12.603282214041377,33.70711520687048
57,69,1423041.85,2441738.58,6097997.36,12750132.37,3.3398664990970186,12.224113844635449,27.904239567745048
45,61,1267629.08,2749531.05,9068492.71,42520824.55,3.906127805248548,5.0739190144429305,29.264122299467992
56,58,5966907.83,2745420.67,15897027.1,5478303.81,7.785984817596173,10.091354129215992,38.07087805349125
47,59,4415506.19,1936391.05,8207980.66,39804584.84,7.45069026723457,6.393194823780464,46.286908366878855
57,55,2970861.67,1359217.01,11456265.82,10247446.97,6.261375554495251,13.662270305786768,38.497644156272635
27,68,4346342.28,2013590.6,5465846.66,41295074.04,5.298222986928687,13.715858828624066,62.832013622292834
