age,monthly_income,current_savings,investment_horizon_years,credit_score,expenses_per_month,debt_amount,marital_status,dependents,has_existing_investments,equity%,debt%,gold%,real_estate%
62,21421,100525,30,736,12130,245552,0,1,1,33.34706947194804,15.37927170723982,31.127327547528388,20.146331273283753
48,76480,360805,26,669,30155,122771,0,2,1,37.35033214307562,15.20935740214988,25.149051248177678,22.291259206596823
36,32738,77673,1,665,21244,124356,0,3,0,27.92165751981855,29.384574526462732,42.69376795371873,0.0
35,49478,82719,29,700,16075,62198,0,1,0,35.542966622003725,18.340980919235285,23.778846638709993,22.337205820050997
67,131434,150004,25,687,73133,63980,0,1,1,34.390845939045114,22.159894078405358,29.002273529787526,14.446986452762015
64,83614,223738,26,547,54699,43335,0,2,1,31.812030684201687,18.7301904529524,32.23798245207354,17.219796410772364
23,53669,212255,17,548,46921,68375,0,2,1,35.36672423373116,25.512108615617475,22.803664307197046,16.317502843454314
57,56366,5000,31,481,27950,106153,1,0,0,26.957268011348155,17.981223107796566,36.16235571185467,18.89915316900059
27,87225,186061,8,711,66206,24782,0,1,1,37.21184291787931,24.66799649978249,27.939663965563888,10.180496616774311
41,79886,95815,5,618,30326,36406,0,1,0,31.097174816197903,24.84446854105191,36.90317587893745,7.155180763812724
29,62268,118804,1,716,34879,81925,1,1,0,33.2819138352703,21.790045630318893,37.30592622207233,7.622114312338484
59,63107,131963,15,682,27380,58293,1,1,1,32.898399241671875,18.92839370748275,36.82686691376147,11.346340137083903
38,15605,210516,36,570,9292,205434,1,0,1,33.375229133168524,17.030977550956436,25.0281723036753,24.565621012199742
24,15000,284773,7,640,8255,206906,0,1,1,30.62983314048188,22.738595892575365,32.25757495159719,14.373996015345567
45,54695,166271,27,614,48562,49135,0,0,1,34.669854678855685,19.713194369845912,25.22163680854218,20.395314142756217
34,41001,132784,35,601,34871,71914,0,3,1,35.57655369335227,19.436582392166134,19.74900666950667,25.237857244974933
29,77582,74886,27,723,50375,450538,1,0,1,36.533909324752514,28.44182720918429,16.598613951044833,18.425649515018353
46,65915,23737,20,850,26755,210866,0,2,0,35.85400066783581,22.710231677337454,27.337906774439425,14.097860880387309
22,36817,509430,18,739,23348,29150,1,0,1,36.07318821638793,17.322556203259026,20.92939804752034,25.674857532832696
40,64896,99137,2,648,50310,39459,1,2,1,33.387607684817475,27.26780745629113,36.929265706275785,2.4153191526156013
48,47453,133632,30,751,15318,10461,0,1,1,38.5226368560172,17.17183722071137,20.867098009326124,23.438427913945304
67,121998,222495,38,787,68369,135919,1,1,1,37.43249427623877,24.173832023220104,21.782617874442884,16.611055826098237
27,71587,11338,30,539,23307,45733,0,2,0,37.06574825841766,22.60317897021399,23.082535852245666,17.24853691912268
64,15000,308976,7,748,6695,92299,0,1,0,25.354952078144393,14.415841421721145,47.71966431229164,12.509542187842818
28,114615,255148,39,712,40719,175396,0,0,0,41.35199204850396,20.511650324156687,13.749092365143897,24.387265262195463
67,41006,238259,13,745,35935,216972,0,3,0,25.54271885272083,23.391148467525227,39.24403618632294,11.822096493431
55,30758,5000,33,715,12343,47230,0,2,1,38.124211571884054,16.121005812579963,27.386049913985445,18.368732701550538
34,124311,119623,30,632,48489,32499,0,1,1,41.12170013897258,19.071783304375515,19.482394497793955,20.32412205885796
37,70375,8927,30,813,62157,226489,1,2,0,36.442296276545385,28.75168735006173,16.40960172727217,18.39641464612072
56,81023,128072,23,677,49390,57611,0,0,1,35.76889728400044,22.476062633627485,26.370078025057587,15.384962057314494
60,81992,202790,24,615,61886,207115,0,0,0,26.297847931421654,27.938812645451932,32.13301306167378,13.63032636145262
24,53820,20790,20,690,26715,19469,0,1,1,43.46649614676956,18.492340861113163,23.448166552349992,14.592996439767289
22,42828,189930,28,728,26541,291527,1,0,0,35.2287952256326,26.594039424673007,18.42795427841194,19.749211071282463
26,47722,95518,19,658,14512,79195,0,0,0,32.67468552393577,23.046035259611134,26.48189629475214,17.79738292170097
62,108266,267030,13,681,59036,22379,1,1,1,34.96407528991087,20.10571919232554,31.96031557175453,12.969889946009058
24,66114,122030,16,657,41853,91904,1,1,1,38.9351269690301,23.890654390212813,23.85905636480567,13.315162275951419
49,99387,65545,15,597,60491,244841,1,1,1,33.640414942429956,25.100989082713227,31.20428280457877,10.05431317027804
38,57707,64553,11,584,31363,59183,0,0,1,32.795324756279335,20.994663617903896,34.45230128397755,11.75771034183922
46,37338,364442,12,538,28852,23531,0,2,0,23.42787378873287,18.54729648398032,41.40195254593404,16.622877181352774
64,16734,96491,22,771,10056,103120,0,2,0,32.21151761197776,15.227138574295228,36.33018945789948,16.23115435582753
54,79440,83274,25,632,54152,215830,1,0,1,31.381352777763833,25.893690913094602,29.322443173280092,13.40251313586146
30,110823,6510,3,376,45523,15525,0,0,0,28.804653557257915,30.269636783244618,37.88649011528717,3.039219544210308
56,33421,72491,24,682,27301,5075,0,1,1,34.38308308171384,15.574947314361085,30.623755275408694,19.418214328516363
34,75401,303142,25,680,39035,6953,1,3,1,39.773630894018915,17.02101344180877,23.131093911078114,20.07426175309421
51,18732,228998,9,501,11038,31440,0,1,0,18.92559750179574,18.32433046086254,50.264432908762025,12.485639128579688
68,43329,39941,28,583,22154,879,1,0,1,31.774656532819073,16.58334122782567,34.55289130915479,17.089110930200473
35,68038,85252,30,580,56821,67175,0,1,0,31.61003726547173,26.98431307302387,22.200681303668627,19.20496835783577
28,15000,35020,7,591,12606,143580,0,3,1,31.229967828137017,23.869132391176034,37.34617879039981,7.554720990287139
34,59459,493414,11,747,25839,148735,0,1,1,34.35066975814407,19.045976144355578,28.202093182366127,18.401260915134234
43,34899,145855,10,638,26231,121507,0,0,0,27.304290790897,20.971147430296906,39.226037637976376,12.498524140829732
60,78143,224619,3,616,28266,42151,0,0,0,30.046316907377907,19.232595544601196,45.86585115645473,4.855236391566166
41,55038,200175,19,740,17497,159788,1,0,0,33.59122669277155,20.23070921564202,29.162843527781273,17.01522056380518
36,88183,331042,2,690,70718,103101,1,2,1,31.820631796124882,26.533966620870213,34.99662123592755,6.648780347077363
65,51612,477180,17,511,19545,236949,1,1,1,27.782420928579683,14.452273932006616,39.73574954669354,18.02955559272017
38,19129,5277,29,601,7515,78012,0,2,0,29.56388514448459,20.37978479874835,28.81128638443475,21.2450436723323
67,15391,592160,2,676,10218,23836,0,1,0,17.430619557326704,10.079737749438662,53.27380216364459,19.215840529590043
44,15000,327104,16,575,11850,120829,0,2,0,22.24759214381499,20.08168397027883,35.78928113124921,21.881442754656963
46,78989,77248,10,812,32682,19613,1,1,1,39.77383470028242,19.068137090772957,31.80217368377261,9.355854525172006
45,136732,290309,4,659,50387,396091,0,1,1,35.19439222213517,26.638700811738513,30.615762940118085,7.551144026008233
65,73057,213428,26,590,25306,145798,0,2,1,33.96177755384286,15.012012547780829,32.61203405619119,18.414175842185127
61,110161,252094,24,560,34690,169429,0,0,0,29.588160519919487,19.028039132884757,34.00588766568801,17.377912681507752
49,94007,39896,12,724,34772,136458,1,1,1,35.19402913960333,25.16389720057669,34.09484166957248,5.547231990247494
35,44450,167316,21,598,38476,12318,0,3,1,35.291882556517926,20.389907440052134,26.952551760932174,17.365658242497755
65,97959,5000,16,680,34987,75126,1,0,0,35.73429979695761,18.297834594729988,39.30706699893386,6.660798609378546
21,45643,301661,36,558,30057,126465,0,0,1,38.69614930464401,19.524122920050765,16.57225433717932,25.207473438125906
45,46239,482690,35,656,39422,31263,0,1,1,35.08370401735986,15.686264629957892,20.793211933098053,28.436819419584204
27,53742,173612,9,599,36366,136546,1,3,1,34.58309185945805,23.98494288269173,28.383746563459322,13.048218694390897
29,55164,115010,6,625,17633,205699,1,1,1,34.57874803935542,22.738277777951208,34.414395658923794,8.26857852376958
44,79841,206983,1,586,52523,38578,1,2,1,29.02191797160643,25.676136829072565,39.2681130764679,6.033832122853102
21,39873,63210,14,732,33566,26718,1,0,1,40.71155471276155,29.14716859696302,20.558658957598897,9.582617732676542
64,86673,157526,24,611,42776,257634,0,2,0,26.054478169940797,24.212812593969232,34.02488438418101,15.707824851908972
28,86242,203089,10,639,42101,625,0,3,0,35.50224556028017,21.069499692932723,30.534809064128964,12.893445682658145
44,70289,24631,18,642,31582,35445,1,2,1,37.58041988458503,19.165842943978223,30.40431063749872,12.849426533938024
31,118188,24144,9,779,71305,62653,1,2,0,34.40389333420315,29.090882928619564,30.218524223155313,6.286699514021979
37,98622,201483,27,721,43666,133864,1,2,0,37.6309299740013,22.47215506569184,21.537811901064444,18.359103059242415
28,92092,90440,19,713,67620,699664,0,0,1,34.383324052396404,34.721648865853226,18.450837286565516,12.444189795184855
55,61985,352007,36,524,42578,55600,1,2,0,27.89439552949764,17.647822645496223,28.267069772373688,26.19071205263245
55,70553,59820,3,597,38131,356662,0,0,1,29.67074806904979,27.353326579974212,40.188282985501104,2.7876423654748814
53,75714,6937,38,745,55538,54831,0,0,0,33.16594462822673,21.563754438443883,24.39407686830048,20.8762240650289
25,60397,167915,9,556,21688,142702,0,0,1,34.65469770478853,19.44288844985962,32.34742094710306,13.55499289824878
62,48733,184443,10,657,36535,21692,1,3,0,23.09567107082782,19.88930948157175,46.03658561151642,10.978433836084003
59,15000,129043,9,565,9926,74033,1,0,1,27.5170326721308,19.138006226491303,45.94323045720196,7.4017306441759425
61,81533,183985,17,573,55283,246008,0,0,1,29.7329932692298,22.787000110678594,33.73886920240833,13.741137417683271
48,91243,118691,38,784,30912,46279,1,0,1,41.010053955746095,15.555651383290165,22.2456698011904,21.18862485977335
27,25166,188754,20,708,16883,13339,0,0,1,35.704868965717914,22.15493197035969,25.690044485892123,16.45015457803026
29,78155,7189,7,729,46617,88757,0,2,0,36.47430178702031,29.040641646991116,27.175618606980983,7.309437959007591
28,42254,73519,4,713,24993,69479,1,0,0,34.14943562797716,25.055687328997738,35.21962537182491,5.575251671200194
32,49004,37881,10,639,24164,31292,0,0,0,31.204493254446824,21.597853388676054,38.15230420467547,9.045349152201656
54,99323,16738,21,595,30250,283245,0,3,0,32.687619157002054,24.623888802246398,30.544634487367723,12.143857553383814
53,30281,42671,14,618,16763,110462,1,0,1,29.66915703159616,19.514259392808484,40.9975394153759,9.819044160219454
68,30236,33974,25,635,16344,51173,1,0,1,31.792841145980006,16.776814717050566,37.156789840323924,14.27355429664551
43,114145,578687,17,792,63200,666579,1,0,1,32.60290828694839,29.592052607694352,19.189049064071092,18.61599004128617
44,55633,54022,28,543,37118,17760,1,0,0,29.849010821607052,21.040600588334094,30.2854783032985,18.824910286760367
57,97396,42018,14,606,46744,226027,1,1,1,32.880828861862724,23.33943306809028,35.1916744412708,8.588063628776208
55,15000,288168,13,577,6924,31461,0,1,1,26.286133385477555,14.355573244507546,43.494373933108925,15.863919436905983
64,15000,86913,34,735,8980,32855,1,1,1,36.36576128094648,11.39045852114486,30.5349074894598,21.708872708448858
60,32612,87561,3,798,21373,82737,1,1,0,30.097840533585433,19.180658233702374,45.84426616747472,4.877235065237475
42,45556,93800,4,675,29173,130145,0,2,1,32.47557802864793,23.80027798063635,36.74721497797118,6.976929012744539
47,17901,86203,15,681,14839,140721,1,1,1,28.846928099484327,23.849141246395416,33.48064570143594,13.823284952684306
55,71079,63258,20,657,54125,2685,1,1,0,27.304139136967255,24.65652515696004,32.68856872578509,15.350766980287622
21,73038,53976,8,685,24198,40569,1,0,1,43.69213834805114,21.523268328578357,26.49623975423537,8.288353569135138
55,33056,341877,5,712,21092,129671,0,2,0,26.250051299913483,21.797431709882968,39.60074245213565,12.351774538067907
57,35442,28222,2,684,19517,264584,0,1,1,27.71889367614883,25.039292054051582,46.43019240921057,0.8116218605890062
67,39397,31960,28,690,20353,133000,1,1,0,30.134070800558437,20.17102597903507,34.742073866343,14.952829354063493
34,25053,135676,22,712,21914,37090,0,1,1,35.93735647573691,21.172062851078746,25.762907872438806,17.127672800745536
23,15000,67372,9,508,8611,85058,0,2,1,30.035283060953237,20.210215872319086,37.6232319739337,12.131269092793964
21,57449,87579,28,650,42033,125151,0,3,1,39.77770334406405,23.32088546858036,18.13148384861288,18.7699273387427
25,47087,262835,1,674,41448,17450,1,3,1,32.847776313144344,24.697572558984916,33.58247995562723,8.872171172243517
46,50156,374331,36,683,19590,94470,0,1,1,38.66883970939756,15.012932755130459,21.28682048096018,25.0314070545118
34,29646,250126,2,636,9865,76563,1,0,0,23.935841885221542,21.747308578128834,46.61624482246929,7.7006047141803355
59,84315,42846,38,663,41160,49254,1,2,1,34.94527149387455,18.142181516285337,25.546519800318606,21.36602718952152
47,132762,625694,26,592,43368,117232,0,1,1,35.34747121814525,16.793664718564777,24.077100451217277,23.78176361207269
29,34977,72202,31,508,12943,121343,0,2,1,36.47909473305077,17.413395185149824,25.480630080739918,20.626880001059487
35,101991,29633,19,729,91284,426815,0,4,0,30.107558108145838,37.766912807474824,21.466655382015425,10.658873702363907
35,70999,110743,31,559,62202,67098,1,2,0,29.97974326650603,26.95543040050029,24.303946087443215,18.760880245550464
46,61063,206724,9,637,43646,90927,0,1,1,33.524470019864324,20.070741086637664,35.815485726885726,10.589303166612272
62,49676,13911,3,590,37346,20566,1,1,0,22.73293054938125,22.631774775381146,50.2672049660688,4.368089709168794
33,57503,160945,38,777,22098,95385,1,1,1,42.77132300224764,13.76146540126681,18.18245680375664,25.28475479272889
52,94488,312396,6,644,62091,4410,0,2,0,29.1414176311335,24.19306372512282,36.985723338154635,9.679795305589048
59,25858,48562,7,625,10153,19485,1,1,1,29.497376399810722,18.339436904989853,48.66722366983751,3.495963025361933
69,51750,189009,25,710,27273,22540,0,3,1,35.25676733623885,14.473235776936818,34.14858747930809,16.12140940751624
52,97470,81708,25,823,49437,120169,0,1,1,41.97948797883121,21.498314814674174,22.8084878741133,13.713709332381322
24,89511,85547,1,682,59827,100524,0,2,1,36.02150279457459,28.395461058251886,28.303296928745205,7.279739218428327
50,26322,52742,22,620,9155,191960,0,3,0,29.618716820837044,23.03992549741093,33.297109174809755,14.044248506942267
57,54522,156674,20,706,19741,74924,0,0,1,33.32030625946014,18.12453066796919,32.38428768374076,16.170875388829913
43,81840,71656,13,524,54502,77290,0,2,1,32.161670046719756,24.100067402523038,32.82337499487794,10.914887555879274
59,79903,284365,21,654,54467,21145,1,0,0,28.05779254373899,22.020286690319637,32.770624039283476,17.15129672665791
65,89254,527086,23,810,44977,162902,0,2,0,31.94451543811503,18.96925217213718,28.696551779295575,20.389680610452228
35,71529,437555,33,663,27762,439,1,3,1,39.97116454608531,11.138696479625366,18.49870395803292,30.391435016256402
63,76559,28494,9,659,63670,66383,0,1,1,30.87843721490599,26.150080535429343,37.66882860576646,5.302653643898206
49,70284,5000,29,652,23318,25039,0,1,0,35.916623130619655,18.537461512753154,29.068713992501426,16.477201364125765
56,107392,92334,32,618,78441,176889,1,0,1,33.62714798395025,25.30226710607566,25.263684698738786,15.806900211235304
33,47346,208833,11,675,18182,134279,1,1,1,36.507014721740966,21.789005383234986,28.616380477751317,13.087599417272733
52,61446,606761,36,712,41932,147215,0,1,0,31.783870206923453,18.41266689457007,20.897670656797594,28.905792241708884
27,29551,244769,29,623,20632,19302,1,0,1,38.47203983853102,15.22582472917148,20.71656320258505,25.58557222971246
42,23639,139009,31,451,18498,132609,0,1,0,28.918134905658537,15.981030126442677,32.06239625094396,23.038438716954822
48,69749,5000,14,687,37456,140888,0,2,0,31.143958993195888,24.815548672560812,33.25132453533898,10.789167798904316
22,38274,279370,25,821,11982,317,1,0,0,37.24033934577902,11.662046627225749,20.35270105662899,30.744912970366258
62,58269,31196,26,620,45836,45857,0,1,1,30.79287913256411,21.40637204026122,32.57659711204133,15.224151715133338
65,108532,9154,22,532,61476,10960,0,4,1,32.54317753747358,22.036731314823754,34.5314334296268,10.888657718075857
26,106798,303922,9,704,86319,137256,0,3,1,37.29813304322781,29.559444517666122,23.278024649399388,9.864397789706686
48,126721,133646,33,790,97016,28607,0,2,0,37.97538728990036,23.750864205475906,19.63326081884938,18.64048768577434
48,109130,22016,23,692,65367,36891,1,0,1,36.956115881674656,23.383880493765147,26.841317870036217,12.818685754523992
64,132091,78183,35,788,118834,9788,0,2,0,33.669668417463356,27.08547734798314,21.886327154751946,17.358527079801558
64,73096,14308,20,713,42194,79353,1,2,1,34.129211052011534,21.70951320362152,33.712275763246055,10.448999981120895
40,32909,162583,33,707,23625,4031,0,1,1,38.52843519978128,13.839314021730043,25.40272491868571,22.229525859802962
50,29988,53101,35,609,21048,224179,0,0,0,28.614618939386215,22.372681539489776,27.326719367640695,21.68598015348331
31,101890,321699,30,673,62238,3206,1,0,1,41.274483687041496,19.19436137230923,15.350270939774552,24.18088400087473
48,61549,70856,30,648,40081,7635,0,2,0,33.32962151442886,20.28917927094982,27.199653411921904,19.18154580269942
45,63784,109196,22,645,49698,122734,1,1,1,33.51091933135345,23.271896826028115,25.967747260887386,17.249436581731047
59,43528,10501,1,630,27987,298574,1,0,1,25.84965326404539,26.344453999100924,45.709778440518406,2.0961142963352675
53,47125,51584,15,668,26865,267210,0,4,1,31.688913959185623,18.082330162481128,35.85287473172476,14.375881146608501
21,71513,180701,25,546,49862,10480,0,0,0,30.89951355724066,23.444176814689296,23.238982589699997,22.41732703837004
47,28343,213248,20,715,9106,40837,0,2,0,29.89529246268608,13.712405511144027,34.978107117360665,21.41419490880923
33,67714,44505,7,580,24750,88336,1,1,0,29.074487283478117,23.2778465002922,40.62434933416863,7.023316882061079
61,105332,112131,16,630,39526,3238,0,1,1,36.77552428849551,18.98537440968676,35.377057205385206,8.862044096432534
23,15000,272188,23,676,8331,90257,0,0,0,34.09619748855088,17.47502754357317,20.893124929310833,27.53565003856512
59,15000,76463,21,576,12345,71254,0,2,1,31.468347059660505,15.349507225705231,38.77960326508814,14.402542449546116
26,80268,22977,1,493,55061,106528,0,1,1,32.228039358000366,31.46387800962609,36.20177196323057,0.10631066914297185
28,100919,90465,20,619,89169,303561,0,0,1,33.31581297182254,35.11203204128352,21.080359720693572,10.49179526620037
47,45303,146858,19,536,14676,38527,1,0,1,34.61400633294163,14.409494976439916,34.200849477492376,16.775649213126066
29,15000,5000,6,707,10998,122297,1,3,1,37.816106040555404,19.744079067645103,36.181116994984905,6.25869789681458
57,102958,68573,38,558,50297,67419,1,2,0,32.35755666559076,22.25391350428641,26.051293483035128,19.337236347087696
53,35668,149609,32,769,11198,68539,1,1,1,38.70184019329728,16.19957341147436,23.082600945830652,22.015985449397714
62,49163,485555,1,650,39111,125047,0,2,1,26.511046688090715,19.443275455376664,41.08783539395714,12.957842462575469
64,69571,84028,30,655,27662,362739,1,1,1,31.90281908109783,22.471372167403935,28.441439387139166,17.184369364359064
44,40007,28464,16,492,17140,238561,0,1,1,27.3947124690621,25.254025839322164,34.803643944577516,12.547617747038222
35,33716,122246,27,662,17002,122439,0,0,1,37.330186500746905,17.239729173843386,24.015996196398635,21.414088129011077
52,34266,53844,18,644,26488,74285,0,1,1,32.394074540833124,18.325228826488168,35.881540070454754,13.399156562223947
52,115738,38686,13,546,78094,66196,0,0,1,30.891407378410495,27.369487055837755,32.35787570207443,9.38122986367732
44,94788,142813,28,657,43499,185650,0,2,1,39.99976021236944,21.287118731500065,21.61654153032405,17.096579525806437
61,77236,396088,10,618,30978,29542,1,3,1,30.89343749807923,16.466127712006237,39.34133209278456,13.299102697129978
69,15000,288507,14,633,5485,106311,0,3,1,29.925523188372736,13.259899470248676,42.689831786489776,14.1247455548888
69,77346,32200,29,652,30156,84372,1,1,1,34.698429367538985,15.714913770657136,34.425342162495845,15.16131469930804
32,75726,232307,11,612,62162,125757,1,0,0,28.624443099306124,30.502795638754517,28.168192313260015,12.704568948679343
59,21656,41791,27,670,18485,24905,1,2,0,28.078697532879808,15.344659933807906,35.19807702968191,21.378565503630373
22,67761,54957,17,643,59682,142792,1,0,0,31.385999376190387,32.528293062864286,24.108591112207375,11.977116448737943
23,91545,404220,3,688,73312,118341,0,1,1,35.839950994241846,29.548456395108367,24.285401816374407,10.326190794275387
69,77081,387149,31,608,64164,23835,1,0,1,31.97101056783763,18.124919236301036,27.400372598117023,22.5036975977443
57,39595,29549,21,565,31266,71658,0,0,1,33.02351717945195,20.43160071781555,37.01747516699657,9.52740693573593
69,60398,10615,33,593,52838,136215,0,1,1,32.866604973443245,21.631719483561056,32.066588256690444,13.435087286305263
37,81911,55503,1,765,66134,278251,0,0,0,29.086012818842867,33.22679794759412,35.202333487634625,2.4848557459283827
69,61784,139478,6,726,35661,15627,0,3,0,25.472934937271564,20.74048902200448,46.12922647100029,7.657349569723669
22,97629,335151,4,747,48224,1053,0,2,1,38.60357693445926,24.508779537437633,24.672527158647938,12.215116369455165
22,71870,20242,22,753,46753,21661,1,3,0,35.694039904939565,24.873431002328626,20.97483034112828,18.45769875160353
48,82588,85772,13,613,54913,544207,0,0,1,31.061448440712518,30.46656281529152,29.367318805598906,9.10466993839705
43,84642,50738,30,674,54589,175514,0,0,1,40.70996999551662,23.680815124608266,21.814356317248198,13.794858562626915
57,28000,5000,26,656,20273,114345,0,1,0,30.56546369572512,17.32704453501471,34.735621551973836,17.371870217286336
52,61500,248524,39,703,44242,17128,0,3,1,37.718235691177185,17.5617735700942,22.969763990676277,21.750226748052345
53,50029,268507,39,627,17626,64552,0,3,1,37.59021534816494,13.351011954760809,22.962413345712374,26.096359351361876
21,91315,40006,7,657,43037,150733,1,2,0,35.055156154157046,27.62698193341222,28.8914154301524,8.426446482278326
39,73897,26237,14,656,61623,271470,0,1,0,27.408740690807992,32.96187366697841,30.59597791284242,9.03340772937117
22,54354,24982,26,693,35548,57718,0,0,0,36.072276455471666,22.90993577152896,21.30852367540538,19.709264097593994
64,21544,99764,18,702,10709,969425,0,1,1,26.251909379099963,28.24814341700062,33.75825798768458,11.741689216214828
46,15000,45283,24,657,12154,18062,0,0,1,37.526785245791295,18.97561410311413,28.389743821132647,15.107856829961936
52,69310,114579,25,660,31149,58714,0,1,1,35.44694419818705,15.835120815549656,31.893540993004827,16.824393993258475
26,38484,77743,32,668,20993,249915,0,0,0,35.154462344789756,20.87687452813,17.724728183990774,26.243934943089492
52,79984,37896,6,782,37252,125950,0,1,0,33.68286599327301,24.36677211682359,36.87506121304433,5.0753006768590545
24,15000,222572,16,512,12342,199870,0,1,1,31.906651963004784,21.891827010299274,29.01808273608103,17.183438290614895
31,107789,26072,3,572,79437,286054,0,1,1,30.511092626179813,36.79607677587868,28.03739931001975,4.655431287921749
37,79916,256634,21,704,46042,84947,1,3,1,37.66976211384927,20.277944837815525,22.02158686194057,20.030706186394635
58,62976,131884,32,672,54120,32106,0,4,0,31.78009851846481,20.768531632013314,29.56989981377979,17.88147003574208
44,110492,285442,2,671,94632,141986,1,0,1,31.541794565450072,31.243280115232103,32.32890070807068,4.88602461124716
25,88453,5000,20,703,64297,99470,1,2,1,41.560874597055786,25.336367413784412,22.772379351631315,10.330378637528502
54,45750,221289,11,667,38210,177751,0,0,1,29.247946098108603,21.586357617234302,35.431233829115385,13.734462455541696
26,62327,8462,18,605,45600,86022,0,1,0,32.6075705130164,28.924876677590373,25.976764275988145,12.490788533405073
42,15000,479633,11,700,10153,199992,1,1,1,33.024476213667576,15.914042109710739,30.30419512690129,20.757286549720398
31,91926,194103,35,652,50786,278756,0,2,1,38.638101857513576,23.29021241542191,16.701769037763725,21.369916689300787
68,51121,61747,36,614,23724,166155,0,0,1,32.753194447958975,18.030183602792565,28.575653234888556,20.6409687143599
36,15000,61671,38,705,5042,163348,1,0,0,33.61902003786479,17.691290457160136,23.358046198179366,25.33164330679569
53,24545,316293,12,702,19157,106172,1,0,1,28.436596910849723,20.865003891654645,37.36857486161376,13.329824335881874
29,86127,373024,31,667,32151,76558,0,2,1,39.8576570981301,18.08256304872726,16.132653080873418,25.927126772269222
26,108414,355469,36,787,59216,431611,1,1,1,42.24188393632507,24.329181518861258,10.385337314358855,23.043597230454814
36,60613,264660,30,756,26717,124315,0,2,0,35.053953966045945,20.26382759991619,21.36497678057712,23.317241653460734
49,30538,273510,4,730,17491,220177,0,1,0,27.419918004624698,21.02683478464513,42.85821556310149,8.695031647628683
23,17378,136068,2,850,8497,84483,1,1,1,35.57755568865388,23.726103011061852,29.141530709730816,11.55481059055345
